#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.44851525
1    1    0.395628555 
1    2    0.0609644884 
1    3    0.0991428656 
1    4    0.00436852218 
1    5    0.383210464 
1    6    -0.0631004938 
1    7    0.107937301 
1    8    0.00341858911 
1    9    0.372116227 
1    10    -0.119830219 
1    11    -0.00664048284 
1    12    -0.00363119623 
1    13    0.368415081 
1    14    -0.0561280714 
1    15    -0.102508497 
1    16    0.00200087177 
1    17    0.374372442 
1    18    0.052801819 
1    19    -0.107930159 
1    20    0.00133816326 
1    21    0.373199852 
1    22    0.125480903 
1    23    0.00249158502 
1    24    -0.00456800007 
1    25    0.10318746 
1    26    0.0917028012 
1    27    0.100219603 
1    28    0.0960027448 
1    29    0.0914547988 
1    30    0.0938838013 
MO:2   -1.16924054
2    1    0.0672352694 
2    2    -0.193047243 
2    3    0.111326851 
2    4    0.00158760905 
2    5    -0.390912845 
2    6    -0.0954557767 
2    7    -0.0844031787 
2    8    -0.00668556219 
2    9    -0.464105612 
2    10    0.0267408312 
2    11    0.0763043815 
2    12    0.00158223791 
2    13    -0.0759614777 
2    14    -0.178260621 
2    15    0.100660087 
2    16    -0.0012767047 
2    17    0.394848458 
2    18    -0.109380971 
2    19    -0.0889292862 
2    20    0.00360293251 
2    21    0.475783914 
2    22    0.0376278487 
2    23    0.0771245474 
2    24    -0.00338523941 
2    25    0.0240707824 
2    26    -0.131105713 
2    27    -0.177055811 
2    28    -0.0361521143 
2    29    0.138761962 
2    30    0.167009693 
MO:3   -1.14253166
3    1    -0.49083032 
3    2    -0.0394226332 
3    3    0.0223046367 
3    4    -0.0022162912 
3    5    -0.312650268 
3    6    0.158168015 
3    7    0.0704448985 
3    8    -0.000758090087 
3    9    0.195277758 
3    10    -0.0081103071 
3    11    0.194021447 
3    12    -0.00180230015 
3    13    0.50865494 
3    14    -0.0307789411 
3    15    -0.000553542314 
3    16    0.000162394588 
3    17    0.312884857 
3    18    0.150760259 
3    19    0.0698085252 
3    20    -9.21985187e-05 
3    21    -0.165218276 
3    22    -0.00966938219 
3    23    0.185031338 
3    24    0.00321332989 
3    25    -0.188608499 
3    26    -0.111987602 
3    27    0.0720183141 
3    28    0.192277483 
3    29    0.110135411 
3    30    -0.0650892534 
MO:4   -0.854927087
4    1    -0.261821892 
4    2    -0.173281878 
4    3    0.181011736 
4    4    0.0080273234 
4    5    -0.0903442782 
4    6    0.286067117 
4    7    0.169988614 
4    8    0.00981935729 
4    9    0.388604608 
4    10    0.133484028 
4    11    -0.0992620056 
4    12    0.00853610255 
4    13    -0.286304534 
4    14    0.168371306 
4    15    -0.171446843 
4    16    0.00897436384 
4    17    -0.102474392 
4    18    -0.277282022 
4    19    -0.169431138 
4    20    0.00809768864 
4    21    0.376109453 
4    22    -0.116196127 
4    23    0.0740873299 
4    24    0.00491847305 
4    25    -0.147432308 
4    26    -0.0466371332 
4    27    0.243997804 
4    28    -0.147131624 
4    29    -0.0434203503 
4    30    0.217811439 
MO:5   -0.840752356
5    1    -0.2720351 
5    2    0.260912241 
5    3    -0.0441635653 
5    4    0.00174219601 
5    5    0.367525232 
5    6    0.126802873 
5    7    -0.0498734623 
5    8    0.0112058829 
5    9    -0.0934977274 
5    10    -0.0262121782 
5    11    -0.322761174 
5    12    0.00331113434 
5    13    -0.268710954 
5    14    -0.256979018 
5    15    0.039133714 
5    16    0.00341185271 
5    17    0.384960442 
5    18    -0.129869933 
5    19    0.0628881581 
5    20    0.00643607904 
5    21    -0.112209559 
5    22    0.0279180062 
5    23    0.336136996 
5    24    0.00549882226 
5    25    -0.160444828 
5    26    0.201970477 
5    27    -0.04771478 
5    28    -0.174112608 
5    29    0.220956078 
5    30    -0.0735263364 
MO:6   -0.657279054
6    1    -0.0278079699 
6    2    0.132314992 
6    3    0.306577326 
6    4    0.00457709736 
6    5    -0.0665647632 
6    6    -0.125522809 
6    7    0.314873412 
6    8    -0.0130083333 
6    9    -0.017143277 
6    10    -0.314237696 
6    11    -0.0101974221 
6    12    -0.0148213165 
6    13    -0.0633800938 
6    14    -0.154953141 
6    15    -0.301012773 
6    16    0.00818447539 
6    17    -0.0443905457 
6    18    0.145773406 
6    19    -0.285445536 
6    20    -0.00391100035 
6    21    -0.0536104065 
6    22    0.333147799 
6    23    -0.00215219945 
6    24    -0.0108366507 
6    25    -0.23088144 
6    26    -0.245583148 
6    27    -0.214771282 
6    28    -0.250013431 
6    29    -0.226184729 
6    30    -0.240899842 
MO:7   -0.592377485
7    1    0.236372086 
7    2    -0.141771273 
7    3    -0.123293574 
7    4    -0.0221033493 
7    5    -0.243351648 
7    6    -0.0639023249 
7    7    0.123089445 
7    8    -0.0124872307 
7    9    0.213786925 
7    10    0.306907436 
7    11    -0.0228364468 
7    12    0.0265786585 
7    13    -0.213742016 
7    14    -0.128325893 
7    15    -0.086611328 
7    16    0.0208646736 
7    17    0.223827537 
7    18    -0.04939754 
7    19    0.161037306 
7    20    0.00312787003 
7    21    -0.226775958 
7    22    0.269875368 
7    23    -0.0380234368 
7    24    -0.0220121979 
7    25    0.245094535 
7    26    -0.219970744 
7    27    0.33572537 
7    28    -0.212987356 
7    29    0.227923953 
7    30    -0.308802264 
MO:8   -0.568095318
8    1    -0.0238174843 
8    2    -0.356661539 
8    3    0.173952698 
8    4    0.0160168592 
8    5    0.0328907264 
8    6    0.389904251 
8    7    0.0842183723 
8    8    0.026745384 
8    9    -0.0345784707 
8    10    0.0216484689 
8    11    -0.382400458 
8    12    0.00950931573 
8    13    0.0360614968 
8    14    -0.379870547 
8    15    0.185846031 
8    16    -0.00558087274 
8    17    -0.0147077313 
8    18    0.40993609 
8    19    0.119149132 
8    20    -0.0128852042 
8    21    0.0227941551 
8    22    0.00515014204 
8    23    -0.39073761 
8    24    -0.00296322304 
8    25    0.0034737605 
8    26    0.0926094347 
8    27    0.00809243494 
8    28    -0.019046172 
8    29    -0.0840611853 
8    30    0.0263984565 
MO:9   -0.527294122
9    1    -0.0228330763 
9    2    -0.00602272685 
9    3    0.141255617 
9    4    0.0346035069 
9    5    0.0156348551 
9    6    0.0733717045 
9    7    -0.378886294 
9    8    0.0476038403 
9    9    -0.0825324455 
9    10    0.35954319 
9    11    0.0806779553 
9    12    0.0464374101 
9    13    0.0260708543 
9    14    0.0389549765 
9    15    0.14246023 
9    16    0.0105677068 
9    17    -0.00792287784 
9    18    0.0440894909 
9    19    -0.383603353 
9    20    0.00938514659 
9    21    0.0650778723 
9    22    0.409721146 
9    23    0.0962003401 
9    24    0.0024279006 
9    25    -0.108422452 
9    26    0.295893524 
9    27    0.233454707 
9    28    0.129102415 
9    29    -0.280197753 
9    30    -0.282648254 
MO:10   -0.509256711
10    1    0.0611626886 
10    2    0.17444431 
10    3    0.372628519 
10    4    -0.0508555175 
10    5    0.0490776171 
10    6    -0.136439557 
10    7    0.257585769 
10    8    -0.0804295441 
10    9    -0.0467152182 
10    10    0.115149438 
10    11    -0.191835539 
10    12    -0.0748055214 
10    13    -0.0429661204 
10    14    0.208159128 
10    15    0.433547503 
10    16    -0.101742602 
10    17    -0.0492105376 
10    18    -0.18299412 
10    19    0.200141006 
10    20    -0.0737300688 
10    21    0.0238540359 
10    22    0.137133671 
10    23    -0.120255626 
10    24    -0.0724292724 
10    25    -0.296135302 
10    26    -0.209873959 
10    27    0.0621304163 
10    28    0.362987771 
10    29    0.180368059 
10    30    -0.0940067519 
MO:11   -0.495392916
11    1    0.0172163518 
11    2    0.0643543282 
11    3    0.0819344477 
11    4    0.414971068 
11    5    -0.00562515059 
11    6    -0.0839793648 
11    7    0.0450193512 
11    8    0.401263498 
11    9    -0.00471763896 
11    10    0.00458625162 
11    11    0.00179274013 
11    12    0.387687667 
11    13    -0.00613341606 
11    14    0.0216898861 
11    15    0.0561598882 
11    16    0.380336746 
11    17    -0.0155130811 
11    18    -0.0072217345 
11    19    0.0920256137 
11    20    0.39623166 
11    21    0.00212668203 
11    22    0.000197709768 
11    23    -0.0643933206 
11    24    0.401731409 
11    25    -0.0953858146 
11    26    -0.0377273783 
11    27    0.0229272321 
11    28    0.020630261 
11    29    0.0692005621 
11    30    0.0172121852 
MO:12   -0.446690923
12    1    -0.00795913372 
12    2    0.361360253 
12    3    -0.0147324016 
12    4    -0.0328551934 
12    5    -0.0190639759 
12    6    -0.351222645 
12    7    0.0203313147 
12    8    -0.0533884602 
12    9    0.00220941084 
12    10    0.347559951 
12    11    -0.0168468904 
12    12    0.00269225394 
12    13    0.000266315347 
