#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.43169494
1    1    0.392547016 
1    2    0.058573391 
1    3    0.100642733 
1    4    -0.00284606311 
1    5    0.388220512 
1    6    -0.0624282583 
1    7    0.103434791 
1    8    -0.00589343123 
1    9    0.380258046 
1    10    -0.119773763 
1    11    -0.00390398855 
1    12    0.00380751844 
1    13    0.37673393 
1    14    -0.0573333347 
1    15    -0.101642812 
1    16    -0.0031685028 
1    17    0.362740224 
1    18    0.0646254926 
1    19    -0.0981761267 
1    20    -0.000778487371 
1    21    0.368108928 
1    22    0.117705474 
1    23    -0.00976932327 
1    24    0.0023464421 
1    25    0.106484597 
1    26    0.0997220406 
1    27    0.0971211109 
1    28    0.0974462303 
1    29    0.0903948825 
1    30    0.0960505056 
MO:2   -1.15665606
2    1    -0.498750782 
2    2    0.00898312671 
2    3    -0.021896377 
2    4    0.003888496 
2    5    -0.215572965 
2    6    0.164998397 
2    7    0.0844298687 
2    8    0.00292844082 
2    9    0.272808662 
2    10    -0.0152483884 
2    11    0.170747891 
2    12    0.00239405434 
2    13    0.506286821 
2    14    -0.00948101661 
2    15    -0.0225558284 
2    16    -0.00356364571 
2    17    0.244946762 
2    18    0.169906683 
2    19    0.079326107 
2    20    -0.000186423471 
2    21    -0.276229931 
2    22    -0.0153289681 
2    23    0.177026278 
2    24    -0.00237153903 
2    25    -0.191527654 
2    26    -0.0795259444 
2    27    0.102758301 
2    28    0.185501486 
2    29    0.0851176572 
2    30    -0.104018451 
MO:3   -1.14417932
3    1    0.00690682096 
3    2    0.193325743 
3    3    -0.105723468 
3    4    0.00220188166 
3    5    0.450316405 
3    6    0.0765715344 
3    7    0.0664760547 
3    8    -0.00761568511 
3    9    0.418978961 
3    10    -0.0185514832 
3    11    -0.120969563 
3    12    0.00418467816 
3    13    -0.0490102741 
3    14    0.18585203 
3    15    -0.103919502 
3    16    0.00146874541 
3    17    -0.447047559 
3    18    0.0575967985 
3    19    0.0619398249 
3    20    0.00412635207 
3    21    -0.426413664 
3    22    -0.020804918 
3    23    -0.0969644047 
3    24    -0.000609833701 
3    25    -0.00369272734 
3    26    0.165100569 
3    27    0.15087848 
3    28    -0.0185745986 
3    29    -0.160912758 
3    30    -0.158197534 
MO:4   -0.85167141
4    1    -0.0295667911 
4    2    -0.295316953 
4    3    0.163875983 
4    4    -0.00453300168 
4    5    -0.327878051 
4    6    0.117901572 
4    7    0.175797698 
4    8    0.0045648648 
4    9    0.357999333 
4    10    0.105732409 
4    11    0.159505372 
4    12    0.00178113714 
4    13    -0.010019079 
4    14    0.292806827 
4    15    -0.17141077 
4    16    0.000612656139 
4    17    -0.330807129 
4    18    -0.103486004 
4    19    -0.163802475 
4    20    0.00398962581 
4    21    0.343584507 
4    22    -0.104523912 
4    23    -0.150165192 
4    24    0.0013370963 
4    25    -0.00132923812 
4    26    -0.186713309 
4    27    0.210430892 
4    28    -0.00669015151 
4    29    -0.182475796 
4    30    0.20419924 
MO:5   -0.841354538
5    1    0.381795021 
5    2    -0.072172326 
5    3    -0.109418897 
5    4    -0.00220777571 
5    5    -0.204918274 
5    6    -0.272406753 
5    7    -0.0906850024 
5    8    0.00725406086 
5    9    -0.169945951 
5    10    -0.0467724988 
5    11    0.296617478 
5    12    -1.25583751e-05 
5    13    0.385909816 
5    14    0.0837418041 
5    15    0.0955694576 
5    16    0.00183066477 
5    17    -0.226865069 
5    18    0.278773183 
5    19    0.0905988896 
5    20    0.00937444135 
5    21    -0.202008524 
5    22    0.0561366797 
5    23    -0.297972275 
5    24    0.00403033596 
5    25    0.234606637 
5    26    -0.115747098 
5    27    -0.0870804766 
