#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -0.18530483E+02
1    1    -0.17678735E-04 
1    2    0.23949342E-03 
1    3    -0.53298899E-04 
1    4    -0.19177245E-03 
1    5    0.15794703E-06 
1    6    0.10052759E-04 
1    7    -0.27325681E-04 
1    8    0.88797326E-04 
1    9    0.13311702E-04 
1    10    0.15092910E-06 
1    11    0.16053854E-05 
1    12    -0.21486150E-04 
1    13    0.15047164E-04 
1    14    -0.16806585E-05 
1    15    0.97636617E-07 
1    16    0.12145617E-06 
1    17    -0.15865184E-05 
1    18    -0.40653324E-05 
1    19    0.32559109E-05 
1    20    -0.35860148E-07 
1    21    0.48053804E-05 
1    22    -0.85538056E-04 
1    23    0.61694449E-04 
1    24    0.14880511E-04 
1    25    0.41461461E-06 
1    26    -0.15309535E-05 
1    27    0.66358248E-04 
1    28    0.16276913E-03 
1    29    -0.21406040E-03 
1    30    0.28934409E-06 
1    31    -0.26634343E-04 
1    32    0.18653825E-05 
1    33    0.11167353E-04 
1    34    -0.43200743E-03 
1    35    -0.74771454E-07 
1    36    0.17461420E-05 
1    37    -0.58759567E-06 
1    38    -0.27397967E-06 
1    39    0.19706574E-06 
1    40    -0.30789077E-06 
1    41    -0.98265575E-06 
1    42    0.60501829E-03 
1    43    -0.82997726E-02 
1    44    0.36315159E-02 
1    45    0.55819019E-02 
1    46    0.87806746E-06 
1    47    0.99253115E+00 
1    48    0.28669221E-01 
1    49    0.29047865E-02 
1    50    0.51698537E-02 
1    51    0.84183606E-06 
1    52    0.44419350E-01 
1    53    0.15727295E-02 
1    54    -0.13031849E-03 
1    55    -0.60220069E-03 
1    56    0.21299515E-07 
MO:2   -0.18529739E+02
2    1    -0.16196522E-04 
2    2    0.21946867E-03 
2    3    -0.45439731E-04 
2    4    0.21000562E-03 
2    5    0.12658224E-06 
2    6    -0.44193001E-06 
2    7    0.37598396E-04 
2    8    0.13389465E-03 
2    9    0.21025679E-03 
2    10    0.23868712E-06 
2    11    0.50267714E-05 
2    12    -0.54147021E-04 
2    13    0.39919917E-04 
2    14    -0.13012833E-04 
2    15    0.23107823E-06 
2    16    -0.33155920E-07 
2    17    -0.60094165E-06 
2    18    -0.41844038E-05 
2    19    -0.13390413E-05 
2    20    -0.26358126E-07 
2    21    0.76995477E-06 
2    22    -0.24331244E-04 
2    23    0.16544165E-04 
2    24    0.25245891E-06 
2    25    0.12211989E-06 
2    26    0.95709882E-05 
2    27    -0.22679433E-04 
2    28    0.82763637E-04 
2    29    0.41858871E-05 
2    30    0.15021958E-06 
2    31    -0.43068758E-03 
2    32    0.12951888E-04 
2    33    0.12626713E-06 
2    34    0.11812103E-04 
2    35    -0.54210500E-07 
2    36    0.14487504E-05 
2    37    -0.45082726E-06 
2    38    -0.16416054E-06 
2    39    0.17286783E-06 
2    40    -0.91750545E-06 
2    41    -0.25198475E-06 
2    42    0.55317085E-03 
2    43    -0.75877072E-02 
2    44    0.32569599E-02 
2    45    -0.61458146E-02 
2    46    0.18732952E-05 
2    47    -0.44459137E-01 
2    48    -0.99332976E-03 
2    49    -0.38457718E-03 
2    50    0.14213350E-03 
2    51    -0.17019423E-06 
2    52    0.99253299E+00 
2    53    0.28642614E-01 
2    54    0.28678106E-02 
2    55    -0.51695248E-02 
2    56    0.18406576E-05 
MO:3   -0.14064386E+02
3    1    0.53408007E-03 
3    2    -0.42674819E-02 
3    3    0.42135536E-02 
3    4    -0.18713792E-04 
3    5    0.44445024E-05 
3    6    -0.61080730E-05 
3    7    0.33607370E-03 
3    8    -0.25746624E-03 
3    9    -0.46323603E-05 
3    10    -0.29642145E-06 
3    11    0.10306502E-04 
3    12    -0.67916879E-04 
3    13    0.57089988E-04 
3    14    0.97877263E-04 
3    15    0.38663046E-06 
3    16    0.99026296E-06 
3    17    0.33713806E-04 
3    18    0.28382598E-04 
3    19    -0.20411584E-05 
3    20    -0.19921028E-06 
3    21    0.14588694E-04 
3    22    -0.11423431E-03 
3    23    0.74848141E-04 
3    24    -0.13346766E-03 
3    25    0.58496730E-06 
3    26    -0.83483842E-05 
3    27    0.37663473E-03 
3    28    -0.23062701E-03 
3    29    0.27024349E-04 
3    30    -0.17907033E-06 
3    31    -0.20520131E-03 
3    32    -0.22836457E-04 
3    33    -0.26117169E-04 
3    34    -0.20219272E-03 
3    35    -0.87418292E-05 
3    36    -0.18697866E-04 
3    37    0.12546735E-04 
3    38    0.36109398E-06 
3    39    -0.10813265E-05 
3    40    -0.42531911E-06 
3    41    0.34204292E-06 
3    42    0.99248529E+00 
3    43    0.35052542E-01 
3    44    -0.31031696E-02 
3    45    0.14165711E-04 
3    46    0.81006061E-06 
3    47    0.83839978E-03 
3    48    -0.75982114E-02 
3    49    -0.20165935E-02 
3    50    -0.43240173E-02 
3    51    -0.58362070E-06 
