#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -0.18515571E+02
1    1    0.29028830E-05 
1    2    0.28474041E-03 
1    3    0.18646373E-04 
1    4    0.40257330E-04 
1    5    0.22526153E-06 
1    6    0.53124779E-05 
1    7    0.27716451E-04 
1    8    -0.14999390E-03 
1    9    -0.12018376E-03 
1    10    0.27738640E-06 
1    11    0.42012874E-05 
1    12    -0.60095541E-04 
1    13    -0.42740234E-04 
1    14    0.74773411E-05 
1    15    0.27782273E-06 
1    16    -0.17706867E-06 
1    17    0.10978740E-05 
1    18    0.76805297E-05 
1    19    -0.46113807E-06 
1    20    -0.51390652E-07 
1    21    0.49783422E-05 
1    22    -0.69645360E-04 
1    23    -0.50007275E-04 
1    24    -0.99720964E-05 
1    25    0.33175423E-06 
1    26    0.36944225E-05 
1    27    0.43585418E-04 
1    28    -0.16606025E-03 
1    29    0.15494411E-03 
1    30    0.24384076E-06 
1    31    -0.27040796E-03 
1    32    0.80423551E-05 
1    33    0.10147617E-04 
1    34    -0.34697256E-03 
1    35    -0.93938672E-07 
1    36    0.19666691E-05 
1    37    0.57644921E-06 
1    38    -0.15563600E-07 
1    39    0.24620168E-06 
1    40    -0.82367769E-06 
1    41    -0.95415228E-06 
1    42    0.81576066E-03 
1    43    -0.11181962E-01 
1    44    -0.48402976E-02 
1    45    -0.10776228E-02 
1    46    0.17623623E-05 
1    47    0.78728617E+00 
1    48    0.22937733E-01 
1    49    -0.21500812E-02 
1    50    -0.43409309E-02 
1    51    0.60111803E-06 
1    52    0.60598743E+00 
1    53    0.17747550E-01 
1    54    -0.15714255E-02 
1    55    0.34600508E-02 
1    56    0.10840429E-05 
MO:2   -0.18515503E+02
2    1    0.37470171E-06 
2    2    0.37000702E-04 
2    3    0.24012618E-05 
2    4    -0.30977472E-03 
2    5    0.91502295E-08 
2    6    -0.56464017E-05 
2    7    0.65698230E-04 
2    8    -0.82212383E-04 
2    9    -0.15166202E-03 
2    10    0.12637458E-06 
2    11    0.35812836E-05 
2    12    -0.45136405E-04 
2    13    -0.33958504E-04 
2    14    0.10718823E-04 
2    15    0.20273303E-06 
2    16    -0.23099439E-07 
2    17    0.14362271E-06 
2    18    0.99968513E-06 
2    19    0.35436131E-05 
2    20    -0.60336115E-08 
2    21    -0.23873301E-05 
2    22    0.28259318E-04 
2    23    0.21894069E-04 
2    24    0.84500832E-05 
2    25    -0.12992658E-06 
2    26    0.68120139E-05 
2    27    -0.56363447E-04 
2    28    0.41140019E-04 
2    29    -0.11584631E-03 
2    30    -0.18359104E-07 
2    31    -0.33474843E-03 
2    32    0.92682918E-05 
2    33    -0.69024655E-05 
2    34    0.25433903E-03 
2    35    -0.12212788E-07 
2    36    0.25580443E-06 
2    37    0.75025197E-07 
2    38    0.12190833E-06 
2    39    0.32118422E-07 
2    40    -0.61566004E-06 
2    41    0.38448843E-06 
2    42    0.10614091E-03 
2    43    -0.14543737E-02 
2    44    -0.62962919E-03 
2    45    0.82797541E-02 
2    46    0.10301510E-05 
2    47    -0.60601848E+00 
2    48    -0.17295185E-01 
2    49    0.19806287E-02 
2    50    0.28759520E-02 
2    51    -0.62525667E-06 
2    52    0.78731017E+00 
2    53    0.22588546E-01 
2    54    -0.24645762E-02 
2    55    0.38905939E-02 
2    56    0.15036691E-05 
MO:3   -0.14087380E+02
3    1    0.62380956E-03 
3    2    -0.63413476E-02 
3    3    -0.57117594E-02 
3    4    0.11813107E-06 
3    5    0.70116249E-05 
3    6    -0.12205517E-04 
3    7    0.29273325E-03 
3    8    0.39098511E-03 
3    9    -0.10166253E-03 
3    10    -0.47862587E-06 
3    11    0.58769076E-05 
3    12    0.85322325E-06 
3    13    -0.67392774E-05 
3    14    -0.71665914E-04 
3    15    -0.17981061E-08 
3    16    0.25961250E-05 
3    17    0.13172560E-04 
3    18    -0.40863683E-04 
3    19    0.33221601E-08 
3    20    -0.10260805E-06 
3    21    0.58776437E-05 
3    22    0.85130091E-06 
3    23    -0.67383968E-05 
3    24    0.71681122E-04 
3    25    -0.90804976E-08 
3    26    -0.12208503E-04 
3    27    0.29271938E-03 
3    28    0.39103739E-03 
3    29    0.10170640E-03 
3    30    -0.47646490E-06 
3    31    -0.20731780E-03 
3    32    -0.18632073E-04 
3    33    -0.18634591E-04 
3    34    -0.20730457E-03 
3    35    -0.63226817E-05 
3    36    -0.16230280E-04 
3    37    -0.11347365E-04 
3    38    -0.77825709E-09 
3    39    -0.10085200E-05 
3    40    0.37563875E-06 
3    41    0.37571644E-06 
3    42    0.99227762E+00 
3    43    0.36790646E-01 
3    44    0.12080058E-02 
3    45    0.65136643E-06 
3    46    0.36735812E-05 
3    47    0.82936403E-03 
3    48    -0.75166034E-02 
3    49    0.20739342E-02 
3    50    0.42519096E-02 
3    51    -0.76926291E-06 
3    52    0.82938313E-03 
3    53    -0.75158691E-02 
3    54    0.20737873E-02 
3    55    -0.42517836E-02 
3    56    -0.15781393E-05 
MO:4   -0.13885126E+02
4    1    0.35688736E-05 
4    2    0.45213762E-05 
4    3    0.48836038E-04 
4    4    -0.26572215E-08 
4    5    0.25961798E-06 
4    6    0.39949698E-05 
4    7    0.34424159E-04 
4    8    -0.14703712E-04 
4    9    -0.71397538E-04 
4    10    -0.57111632E-05 
4    11    -0.18883258E-04 
4    12    0.35973795E-03 
4    13    -0.53035604E-03 
4    14    -0.12661083E-04 
4    15    0.18699658E-04 
4    16    0.62067047E-03 
4    17    -0.77198733E-02 
4    18    0.64482636E-02 
4    19    0.24565543E-07 
4    20    0.16104449E-03 
4    21    -0.18885151E-04 
4    22    0.35973028E-03 
4    23    -0.53044187E-03 
4    24    0.12653045E-04 
4    25    0.18613540E-04 
4    26    0.39915248E-05 
4    27    0.34464400E-04 
4    28    -0.14733429E-04 
4    29    0.71376096E-04 
4    30    -0.56952992E-05 
4    31    -0.23320905E-04 
4    32    0.26708861E-04 
4    33    0.26794539E-04 
4    34    -0.23320502E-04 
4    35    0.99202981E+00 
4    36    0.39346075E-01 
4    37    0.70454404E-03 
4    38    0.77819090E-06 
4    39    0.24821686E-02 
4    40    -0.88086426E-02 
4    41    -0.88084881E-02 
4    42    0.93346289E-05 
4    43    -0.14113874E-04 
4    44    0.11119420E-04 
4    45    -0.29372214E-09 
4    46    0.81303857E-07 
4    47    -0.66596162E-07 
4    48    0.35229088E-06 
4    49    -0.74277623E-06 
4    50    0.27346077E-06 
4    51    0.15137266E-08 
4    52    -0.66568942E-07 
4    53    0.35214607E-06 
4    54    -0.74261654E-06 
4    55    -0.27350393E-06 
4    56    0.16572687E-08 
MO:5   -0.98121918E+01
5    1    -0.63443188E-03 
5    2    -0.20864492E-03 
5    3    0.23129760E-03 
5    4    -0.20955831E-07 
5    5    0.22552793E-05 
5    6    -0.15640153E-03 
5    7    0.41551703E-03 
5    8    -0.14396050E-03 
5    9    0.14269340E-03 
5    10    0.45471924E-06 
5    11    -0.68380340E-02 
5    12    -0.98686462E-02 
5    13    0.33986664E-02 
5    14    -0.56323261E-02 
5    15    0.45301577E-04 
5    16    0.99026036E+00 
5    17    0.45240092E-01 
5    18    0.57004024E-03 
5    19    0.19384629E-06 
5    20    -0.23022601E-03 
5    21    -0.68369800E-02 
5    22    -0.98689765E-02 
5    23    0.33987582E-02 
5    24    0.56323999E-02 
5    25    0.45156187E-04 
5    26    -0.15616938E-03 
5    27    0.41553325E-03 
5    28    -0.14394787E-03 
5    29    -0.14277675E-03 
5    30    0.46915767E-06 
5    31    -0.78853117E-04 
5    32    0.21448788E-03 
5    33    0.21448546E-03 
5    34    -0.78836166E-04 
5    35    0.80251571E-03 
5    36    -0.80473628E-02 
5    37    -0.55909685E-02 
5    38    -0.11933697E-06 
5    39    -0.15188394E-03 
5    40    -0.46375592E-03 
5    41    -0.46365931E-03 
5    42    0.55175778E-05 
5    43    -0.39195444E-04 
5    44    0.32288998E-04 
5    45    -0.10070141E-08 
5    46    -0.43671098E-06 
5    47    -0.30877549E-06 
5    48    0.15090162E-05 
5    49    -0.28083509E-05 
5    50    0.13546390E-05 
5    51    0.34425598E-07 
5    52    -0.30884396E-06 
5    53    0.15091349E-05 
5    54    -0.28085966E-05 
5    55    -0.13553223E-05 
5    56    0.34691452E-07 
MO:6   -0.97697650E+01
6    1    0.98900064E+00 
6    2    0.45473120E-01 
6    3    -0.19444612E-02 
6    4    0.42237274E-06 
6    5    0.13193141E-04 
6    6    -0.34518881E-01 
6    7    -0.11499520E-01 
6    8    -0.32250941E-02 
6    9    -0.59116218E-02 
6    10    0.61850179E-05 
6    11    -0.19266662E-03 
6    12    0.71630949E-03 
6    13    0.35182207E-03 
6    14    0.72977843E-04 
6    15    -0.20287012E-05 
6    16    0.67918058E-03 
6    17    -0.13290042E-03 
6    18    -0.25999674E-03 
6    19    0.40070415E-07 
6    20    -0.15340559E-05 
6    21    -0.19324636E-03 
6    22    0.71622309E-03 
6    23    0.35179902E-03 
6    24    -0.72761749E-04 
6    25    -0.20418496E-05 
6    26    -0.34517198E-01 
6    27    -0.11500244E-01 
6    28    -0.32253054E-02 
6    29    0.59117588E-02 
6    30    0.58013148E-05 
6    31    0.43899850E-03 
6    32    -0.10687925E-03 
6    33    -0.10693977E-03 
6    34    0.43903175E-03 
6    35    0.76901761E-05 
6    36    -0.67373505E-04 
6    37    -0.46374940E-04 
6    38    -0.58485690E-08 
6    39    -0.45461432E-05 
6    40    0.44622655E-05 
6    41    0.44653695E-05 
6    42    0.92567035E-03 
6    43    -0.73604875E-02 
6    44    0.50875754E-02 
6    45    -0.21232327E-06 
6    46    -0.77163644E-05 
6    47    0.19389689E-04 
6    48    0.99510997E-04 
6    49    -0.40374132E-04 
6    50    -0.12062126E-03 
6    51    0.19631819E-07 
6    52    0.19380413E-04 
6    53    0.99489693E-04 
6    54    -0.40419603E-04 
6    55    0.12055540E-03 
6    56    0.63863675E-07 
MO:7   -0.97565235E+01
7    1    0.64381655E-03 
7    2    -0.14977028E-03 
7    3    0.60141949E-04 
7    4    -0.81297727E-02 
7    5    0.10261245E-06 
7    6    -0.69053173E+00 
7    7    -0.32241992E-01 
7    8    0.97575946E-03 
7    9    -0.93654296E-03 
7    10    -0.13642249E-04 
7    11    0.31301055E-01 
7    12    0.85099969E-02 
7    13    0.46934891E-02 
7    14    0.18519118E-05 
7    15    -0.19481139E-04 
7    16    -0.44839970E-05 
7    17    0.15849439E-04 
7    18    0.51950639E-05 
7    19    0.48797891E-03 
7    20    -0.35674449E-08 
7    21    -0.32219195E-01 
7    22    -0.87388255E-02 
7    23    -0.48181092E-02 
7    24    0.96397244E-05 
7    25    0.20208431E-04 
7    26    0.70821863E+00 
7    27    0.33070814E-01 
7    28    -0.10058774E-02 
7    29    -0.95904671E-03 
7    30    0.14023599E-04 
7    31    0.64962926E-02 
7    32    -0.48160898E-03 
7    33    0.49265845E-03 
7    34    -0.66659584E-02 
7    35    0.23246418E-06 
7    36    -0.16793603E-05 
7    37    -0.13687389E-05 
7    38    -0.75868109E-04 
7    39    -0.49553691E-07 
7    40    0.15970588E-04 
7    41    -0.16603865E-04 
7    42    0.28761379E-06 
7    43    0.16676007E-05 
7    44    -0.74687313E-07 
7    45    0.12472085E-03 
7    46    -0.10152643E-07 
7    47    -0.55038121E-05 
7    48    0.57575811E-04 
7    49    -0.79060296E-05 
7    50    0.33631247E-04 
7    51    -0.14642947E-06 
7    52    0.57850276E-05 
7    53    -0.58462123E-04 
7    54    0.10010384E-04 
7    55    0.32798243E-04 
7    56    0.13078978E-06 
MO:8   -0.97564666E+01
8    1    0.50934606E-01 
8    2    -0.11773573E-01 
8    3    0.47475824E-02 
8    4    0.10277322E-03 
8    5    -0.13521454E-04 
8    6    0.70713019E+00 
8    7    0.33128926E-01 
8    8    -0.12271485E-02 
8    9    0.88480550E-03 
8    10    0.15332705E-04 
8    11    -0.37464353E-01 
8    12    -0.91983000E-02 
8    13    -0.49857393E-02 
8    14    -0.32142540E-03 
8    15    0.21884606E-04 
8    16    -0.35588240E-03 
8    17    0.12673837E-02 
8    18    0.40750012E-03 
8    19    -0.63355501E-05 
8    20    -0.46159746E-06 
8    21    -0.36639836E-01 
8    22    -0.89785946E-02 
8    23    -0.48652767E-02 
8    24    0.32104455E-03 
8    25    0.21538140E-04 
8    26    0.68941746E+00 
8    27    0.32302005E-01 
8    28    -0.12015310E-02 
8    29    -0.86121817E-03 
8    30    0.14969670E-04 
8    31    -0.67742558E-02 
8    32    0.45034429E-03 
8    33    0.43777194E-03 
8    34    -0.66077442E-02 
8    35    0.18694534E-04 
8    36    -0.13621469E-03 
8    37    -0.11022499E-03 
8    38    0.96934144E-06 
8    39    -0.36265297E-05 
8    40    -0.24861388E-04 
8    41    -0.24458754E-04 
8    42    0.23200266E-04 
8    43    0.12879305E-03 
