#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -18.51557
1    1    0.00000 
1    2    0.00028 
1    3    -0.00002 
1    4    0.00004 
1    5    -0.00000 
1    6    0.00001 
1    7    0.00003 
1    8    0.00015 
1    9    -0.00012 
1    10    -0.00000 
1    11    0.00000 
1    12    -0.00006 
1    13    0.00004 
1    14    0.00001 
1    15    -0.00000 
1    16    -0.00000 
1    17    0.00000 
1    18    -0.00001 
1    19    -0.00000 
1    20    0.00000 
1    21    0.00000 
1    22    -0.00007 
1    23    0.00005 
1    24    -0.00001 
1    25    -0.00000 
1    26    0.00000 
1    27    0.00004 
1    28    0.00017 
1    29    0.00015 
1    30    -0.00000 
1    31    -0.00027 
1    32    0.00001 
1    33    0.00001 
1    34    -0.00035 
1    35    -0.00000 
1    36    0.00000 
1    37    -0.00000 
1    38    -0.00000 
1    39    -0.00000 
1    40    -0.00000 
1    41    -0.00000 
1    42    0.00082 
1    43    -0.01118 
1    44    0.00484 
1    45    -0.00108 
1    46    -0.00000 
1    47    0.78729 
1    48    0.02294 
1    49    0.00215 
1    50    -0.00434 
1    51    -0.00000 
1    52    0.60599 
1    53    0.01775 
1    54    0.00157 
1    55    0.00346 
1    56    -0.00000 
MO:2   -18.51550
2    1    0.00000 
2    2    0.00004 
2    3    -0.00000 
2    4    -0.00031 
2    5    -0.00000 
2    6    -0.00001 
2    7    0.00007 
2    8    0.00008 
2    9    -0.00015 
2    10    -0.00000 
2    11    0.00000 
2    12    -0.00005 
2    13    0.00003 
2    14    0.00001 
2    15    -0.00000 
2    16    -0.00000 
2    17    0.00000 
2    18    -0.00000 
2    19    0.00000 
2    20    0.00000 
2    21    -0.00000 
2    22    0.00003 
2    23    -0.00002 
2    24    0.00001 
2    25    0.00000 
2    26    0.00001 
2    27    -0.00006 
2    28    -0.00004 
2    29    -0.00012 
2    30    0.00000 
2    31    -0.00033 
2    32    0.00001 
2    33    -0.00001 
2    34    0.00025 
2    35    -0.00000 
2    36    0.00000 
2    37    -0.00000 
2    38    0.00000 
2    39    -0.00000 
2    40    -0.00000 
2    41    0.00000 
2    42    0.00011 
2    43    -0.00145 
2    44    0.00063 
2    45    0.00828 
2    46    -0.00000 
2    47    -0.60602 
2    48    -0.01730 
2    49    -0.00198 
2    50    0.00288 
2    51    0.00000 
2    52    0.78731 
2    53    0.02259 
2    54    0.00246 
2    55    0.00389 
2    56    -0.00000 
MO:3   -14.08738
3    1    0.00062 
3    2    -0.00634 
3    3    0.00571 
3    4    0.00000 
3    5    -0.00001 
3    6    -0.00001 
3    7    0.00029 
3    8    -0.00039 
3    9    -0.00010 
3    10    0.00000 
3    11    0.00001 
3    12    0.00000 
3    13    0.00001 
3    14    -0.00007 
3    15    0.00000 
3    16    0.00000 
3    17    0.00001 
3    18    0.00004 
3    19    0.00000 
3    20    0.00000 
3    21    0.00001 
3    22    0.00000 
3    23    0.00001 
3    24    0.00007 
3    25    0.00000 
3    26    -0.00001 
3    27    0.00029 
3    28    -0.00039 
3    29    0.00010 
3    30    0.00000 
3    31    -0.00021 
3    32    -0.00002 
3    33    -0.00002 
3    34    -0.00021 
3    35    -0.00001 
3    36    -0.00002 
3    37    0.00001 
3    38    -0.00000 
3    39    0.00000 
3    40    0.00000 
3    41    0.00000 
3    42    0.99228 
3    43    0.03679 
3    44    -0.00121 
3    45    0.00000 
3    46    -0.00000 
3    47    0.00083 
3    48    -0.00752 
3    49    -0.00207 
3    50    0.00425 
3    51    0.00000 
3    52    0.00083 
3    53    -0.00752 
3    54    -0.00207 
3    55    -0.00425 
3    56    0.00000 
MO:4   -13.88513
4    1    0.00000 
4    2    0.00000 
4    3    -0.00005 
4    4    -0.00000 
4    5    -0.00000 
4    6    0.00000 
4    7    0.00003 
4    8    0.00001 
4    9    -0.00007 
4    10    0.00001 
4    11    -0.00002 
4    12    0.00036 
4    13    0.00053 
4    14    -0.00001 
4    15    -0.00002 
4    16    0.00062 
4    17    -0.00772 
4    18    -0.00645 
4    19    0.00000 
4    20    -0.00016 
4    21    -0.00002 
4    22    0.00036 
4    23    0.00053 
4    24    0.00001 
4    25    -0.00002 
4    26    0.00000 
4    27    0.00003 
4    28    0.00001 
4    29    0.00007 
4    30    0.00001 
4    31    -0.00002 
4    32    0.00003 
4    33    0.00003 
4    34    -0.00002 
4    35    0.99203 
4    36    0.03935 
4    37    -0.00070 
4    38    0.00000 
4    39    -0.00248 
4    40    -0.00881 
4    41    -0.00881 
4    42    0.00001 
4    43    -0.00001 
4    44    -0.00001 
4    45    -0.00000 
4    46    -0.00000 
4    47    -0.00000 
4    48    0.00000 
4    49    0.00000 
4    50    0.00000 
4    51    -0.00000 
4    52    -0.00000 
4    53    0.00000 
4    54    0.00000 
4    55    -0.00000 
4    56    -0.00000 
MO:5   -9.81219
5    1    -0.00063 
5    2    -0.00021 
5    3    -0.00023 
5    4    -0.00000 
5    5    -0.00000 
5    6    -0.00016 
5    7    0.00042 
5    8    0.00014 
5    9    0.00014 
5    10    -0.00000 
5    11    -0.00684 
5    12    -0.00987 
5    13    -0.00340 
5    14    -0.00563 
5    15    -0.00005 
5    16    0.99026 
5    17    0.04524 
5    18    -0.00057 
5    19    0.00000 
5    20    0.00023 
5    21    -0.00684 
5    22    -0.00987 
5    23    -0.00340 
5    24    0.00563 
5    25    -0.00005 
5    26    -0.00016 
5    27    0.00042 
5    28    0.00014 
5    29    -0.00014 
5    30    -0.00000 
5    31    -0.00008 
5    32    0.00021 
5    33    0.00021 
5    34    -0.00008 
5    35    0.00080 
5    36    -0.00805 
5    37    0.00559 
5    38    -0.00000 
5    39    0.00015 
5    40    -0.00046 
5    41    -0.00046 
5    42    0.00001 
5    43    -0.00004 
5    44    -0.00003 
5    45    -0.00000 
5    46    0.00000 
5    47    -0.00000 
5    48    0.00000 
5    49    0.00000 
5    50    0.00000 
5    51    -0.00000 
5    52    -0.00000 
5    53    0.00000 
5    54    0.00000 
5    55    -0.00000 
5    56    -0.00000 
MO:6   -9.76976
6    1    0.98900 
6    2    0.04547 
6    3    0.00194 
6    4    0.00000 
6    5    -0.00001 
6    6    -0.03452 
6    7    -0.01150 
6    8    0.00323 
6    9    -0.00591 
6    10    -0.00001 
6    11    -0.00019 
6    12    0.00072 
6    13    -0.00035 
6    14    0.00007 
6    15    0.00000 
6    16    0.00068 
6    17    -0.00013 
6    18    0.00026 
6    19    0.00000 
6    20    0.00000 
6    21    -0.00019 
6    22    0.00072 
6    23    -0.00035 
6    24    -0.00007 
6    25    0.00000 
6    26    -0.03452 
6    27    -0.01150 
6    28    0.00323 
6    29    0.00591 
6    30    -0.00001 
6    31    0.00044 
6    32    -0.00011 
6    33    -0.00011 
6    34    0.00044 
6    35    0.00001 
6    36    -0.00007 
6    37    0.00005 
6    38    -0.00000 
6    39    0.00000 
6    40    0.00000 
6    41    0.00000 
6    42    0.00093 
6    43    -0.00736 
6    44    -0.00509 
6    45    -0.00000 
6    46    0.00001 
6    47    0.00002 
6    48    0.00010 
6    49    0.00004 
6    50    -0.00012 
6    51    -0.00000 
6    52    0.00002 
6    53    0.00010 
6    54    0.00004 
6    55    0.00012 
6    56    -0.00000 
MO:7   -9.75652
7    1    0.00064 
7    2    -0.00015 
7    3    -0.00006 
7    4    -0.00813 
7    5    -0.00000 
7    6    -0.69053 
7    7    -0.03224 
7    8    -0.00098 
7    9    -0.00094 
7    10    0.00001 
7    11    0.03130 
7    12    0.00851 
7    13    -0.00469 
7    14    0.00000 
7    15    0.00002 
7    16    -0.00000 
7    17    0.00002 
7    18    -0.00001 
7    19    0.00049 
7    20    0.00000 
7    21    -0.03222 
7    22    -0.00874 
7    23    0.00482 
7    24    0.00001 
7    25    -0.00002 
7    26    0.70822 
7    27    0.03307 
7    28    0.00101 
7    29    -0.00096 
7    30    -0.00001 
7    31    0.00650 
7    32    -0.00048 
7    33    0.00049 
7    34    -0.00667 
7    35    0.00000 
7    36    -0.00000 
7    37    0.00000 
7    38    -0.00008 
7    39    0.00000 
7    40    0.00002 
7    41    -0.00002 
7    42    0.00000 
7    43    0.00000 
7    44    0.00000 
7    45    0.00012 
7    46    0.00000 
7    47    -0.00001 
7    48    0.00006 
7    49    0.00001 
7    50    0.00003 
7    51    0.00000 
7    52    0.00001 
7    53    -0.00006 
7    54    -0.00001 
7    55    0.00003 
7    56    -0.00000 
MO:8   -9.75647
8    1    0.05093 
8    2    -0.01177 
8    3    -0.00475 
8    4    0.00010 
8    5    0.00001 
8    6    0.70713 
8    7    0.03313 
8    8    0.00123 
8    9    0.00088 
8    10    -0.00002 
8    11    -0.03746 
8    12    -0.00920 
8    13    0.00499 
8    14    -0.00032 
8    15    -0.00002 
8    16    -0.00036 
8    17    0.00127 
8    18    -0.00041 
8    19    -0.00001 
8    20    0.00000 
8    21    -0.03664 
8    22    -0.00898 
8    23    0.00487 
8    24    0.00032 
8    25    -0.00002 
8    26    0.68942 
8    27    0.03230 
8    28    0.00120 
8    29    -0.00086 
8    30    -0.00001 
8    31    -0.00677 
8    32    0.00045 
8    33    0.00044 
8    34    -0.00661 
8    35    0.00002 
8    36    -0.00014 
8    37    0.00011 
8    38    0.00000 
8    39    0.00000 
8    40    -0.00002 
8    41    -0.00002 
8    42    0.00002 
8    43    0.00013 
8    44    0.00000 
8    45    -0.00000 
8    46    -0.00000 
8    47    0.00001 
8    48    -0.00003 
8    49    -0.00008 
8    50    0.00003 
8    51    0.00000 
8    52    0.00001 
8    53    -0.00003 
8    54    -0.00008 
8    55    -0.00003 
8    56    0.00000 
MO:9   -9.74797
9    1    0.00013 
9    2    -0.00000 
9    3    -0.00001 
9    4    0.00024 
9    5    0.00000 
9    6    0.03437 
9    7    -0.00588 
9    8    -0.00487 
9    9    0.00007 
9    10    0.00002 
9    11    0.72833 
9    12    0.03327 
9    13    -0.00061 
9    14    0.00083 
9    15    0.00003 
9    16    0.00050 
9    17    -0.00055 
9    18    0.00020 
9    19    0.00798 
9    20    0.00000 
9    21    -0.66937 
9    22    -0.03055 
9    23    0.00056 
9    24    0.00075 
9    25    -0.00002 
9    26    -0.03113 
9    27    0.00541 
9    28    0.00447 
9    29    0.00009 
9    30    -0.00002 
9    31    -0.00013 
9    32    -0.00690 
9    33    0.00633 
9    34    0.00010 
9    35    -0.00000 
9    36    0.00002 
9    37    -0.00001 
9    38    -0.00027 
9    39    -0.00000 
9    40    -0.00010 
9    41    0.00008 
9    42    0.00000 
9    43    -0.00000 
9    44    -0.00000 
9    45    0.00006 
9    46    -0.00000 
9    47    -0.00000 
9    48    0.00000 
9    49    0.00002 
9    50    0.00002 
9    51    -0.00000 
9    52    0.00000 
9    53    -0.00000 
9    54    -0.00002 
9    55    0.00002 
9    56    0.00000 
MO:10   -9.74791
10    1    0.00302 
10    2    -0.00009 
10    3    -0.00014 
10    4    -0.00001 
10    5    0.00000 
10    6    0.03670 
10    7    -0.00535 
10    8    -0.00463 
10    9    -0.00023 
10    10    0.00002 
10    11    0.66910 
10    12    0.03088 
10    13    -0.00051 
10    14    0.00082 
10    15    0.00003 
10    16    0.01190 
10    17    -0.01315 
10    18    0.00484 
10    19    -0.00034 
10    20    0.00001 
10    21    0.72808 
10    22    0.03358 
10    23    -0.00056 
10    24    -0.00089 
10    25    0.00003 
10    26    0.03945 
10    27    -0.00583 
10    28    -0.00503 
10    29    0.00022 
10    30    0.00002 
10    31    -0.00027 
10    32    -0.00648 
10    33    -0.00704 
10    34    -0.00028 
10    35    -0.00003 
10    36    0.00057 
10    37    -0.00014 
10    38    0.00001 
10    39    -0.00005 
10    40    -0.00020 
10    41    -0.00021 
10    42    0.00002 
10    43    -0.00011 
10    44    -0.00009 
10    45    -0.00000 
10    46    -0.00000 
10    47    0.00001 
10    48    -0.00002 
10    49    -0.00003 
10    50    -0.00001 
10    51    0.00000 
10    52    0.00000 
10    53    -0.00002 
10    54    -0.00002 
10    55    0.00001 
10    56    0.00000 
MO:11   -1.06241
11    1    -0.02567 
11    2    0.04988 
11    3    -0.03209 
11    4    -0.00000 
11    5    0.00001 
11    6    -0.00429 
11    7    0.01010 
11    8    -0.00483 
11    9    0.00469 
11    10    0.00000 
11    11    -0.00044 
11    12    0.00114 
11    13    -0.00077 
11    14    0.00007 
11    15    0.00000 
11    16    -0.00019 
11    17    0.00046 
11    18    -0.00023 
11    19    0.00000 
11    20    -0.00000 
11    21    -0.00044 
